start_time,end_time,usage,source
2022-09-25T19:15:00Z,2022-09-25T19:29:00Z,0.02,real
2022-09-25T19:30:00Z,2022-09-25T19:44:00Z,0.03,real
2022-09-25T19:45:00Z,2022-09-25T19:59:00Z,0.03,real
2022-09-25T20:00:00Z,2022-09-25T20:14:00Z,0.02,real
2022-09-25T20:15:00Z,2022-09-25T20:29:00Z,0.02,real
2022-09-25T20:30:00Z,2022-09-25T20:44:00Z,0.03,real
2022-09-25T20:45:00Z,2022-09-25T20:59:00Z,0.03,real
2022-09-25T21:00:00Z,2022-09-25T21:14:00Z,0.02,real
2022-09-25T21:15:00Z,2022-09-25T21:29:00Z,0.03,real
2022-09-25T21:30:00Z,2022-09-25T21:44:00Z,0.03,real
2022-09-25T21:45:00Z,2022-09-25T21:59:00Z,0.02,real
2022-09-25T22:00:00Z,2022-09-25T22:14:00Z,0.02,real
2022-09-25T22:15:00Z,2022-09-25T22:29:00Z,0.03,real
2022-09-25T22:30:00Z,2022-09-25T22:44:00Z,0.03,real
2022-09-25T22:45:00Z,2022-09-25T22:59:00Z,0.03,real
2022-09-25T23:00:00Z,2022-09-25T23:14:00Z,0.05,real
2022-09-25T23:15:00Z,2022-09-25T23:29:00Z,0.05,real
2022-09-25T23:30:00Z,2022-09-25T23:44:00Z,0.04,real
2022-09-25T23:45:00Z,2022-09-25T23:59:00Z,0.05,real
2022-09-26T00:00:00Z,2022-09-26T00:14:00Z,0.06,real
2022-09-26T00:15:00Z,2022-09-26T00:29:00Z,0.04,real
2022-09-26T00:30:00Z,2022-09-26T00:44:00Z,0.04,real
2022-09-26T00:45:00Z,2022-09-26T00:59:00Z,0.02,real
2022-09-26T01:00:00Z,2022-09-26T01:14:00Z,0.03,real
2022-09-26T01:15:00Z,2022-09-26T01:29:00Z,0.03,real
2022-09-26T01:30:00Z,2022-09-26T01:44:00Z,0.02,real
2022-09-26T01:45:00Z,2022-09-26T01:59:00Z,0.02,real
2022-09-26T02:00:00Z,2022-09-26T02:14:00Z,0.03,real
2022-09-26T02:15:00Z,2022-09-26T02:29:00Z,0.03,real
2022-09-26T02:30:00Z,2022-09-26T02:44:00Z,0.02,real
2022-09-26T02:45:00Z,2022-09-26T02:59:00Z,0.03,real
2022-09-26T03:00:00Z,2022-09-26T03:14:00Z,0.03,real
2022-09-26T03:15:00Z,2022-09-26T03:29:00Z,0.02,real
2022-09-26T03:30:00Z,2022-09-26T03:44:00Z,0.03,real
2022-09-26T03:45:00Z,2022-09-26T03:59:00Z,0.03,real
2022-09-26T04:00:00Z,2022-09-26T04:14:00Z,0.02,real
2022-09-26T04:15:00Z,2022-09-26T04:29:00Z,0.02,real
2022-09-26T04:30:00Z,2022-09-26T04:44:00Z,0.03,real
2022-09-26T04:45:00Z,2022-09-26T04:59:00Z,0.02,real
2022-09-26T05:00:00Z,2022-09-26T05:14:00Z,0.03,real
2022-09-26T05:15:00Z,2022-09-26T05:29:00Z,0.03,real
2022-09-26T05:30:00Z,2022-09-26T05:44:00Z,0.03,real
2022-09-26T05:45:00Z,2022-09-26T05:59:00Z,0.02,real
2022-09-26T06:00:00Z,2022-09-26T06:14:00Z,0.03,real
2022-09-26T06:15:00Z,2022-09-26T06:29:00Z,0.03,real
2022-09-26T06:30:00Z,2022-09-26T06:44:00Z,0.02,real
2022-09-26T06:45:00Z,2022-09-26T06:59:00Z,0.02,real
2022-09-26T07:00:00Z,2022-09-26T07:14:00Z,0.03,real
2022-09-26T07:15:00Z,2022-09-26T07:29:00Z,0.03,real
